tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,191,0.0265,0,0.4414,0.4032,0.4059,0.5101,0.5000,0.257975,-0.2317,0.2839,465,53414.1,1833.7,0.0003,4
4000,1451,0.2015,0,0.8439,0.5311,0.1254,0.3132,0.5000,0.142512,-0.4800,0.5518,1042,289626.3,1098.8,0.0010,8
6000,3240,0.4500,0,0.8514,0.5401,0.1042,0.3263,0.5000,0.107628,-0.1710,0.2034,1587,2081913.3,510.6,0.0033,9
8000,3240,0.4500,0,0.8538,0.5375,0.1008,0.3221,0.5000,0.093534,-0.0377,0.0449,1630,5690613.4,525.9,0.0042,5
10000,3237,0.4496,0,0.6600,0.4590,0.1898,0.4426,0.5000,0.081545,-0.0849,0.1142,1910,4924559.9,443.1,0.0063,6
2000,191,0.0265,0,0.4414,0.4032,0.4059,0.5101,0.5000,0.257975,-0.2317,0.2839,465,53414.1,1902.7,0.0066,4
4000,1451,0.2015,0,0.8439,0.5311,0.1254,0.3132,0.5000,0.142512,-0.4800,0.5518,1042,289626.3,1318.1,0.0071,8
6000,3240,0.4500,0,0.8514,0.5401,0.1042,0.3263,0.5000,0.107628,-0.1710,0.2034,1587,2081913.3,554.7,0.0093,9
8000,3240,0.4500,0,0.8538,0.5375,0.1008,0.3221,0.5000,0.093534,-0.0377,0.0449,1630,5690613.4,579.0,0.0101,5
10000,3237,0.4496,0,0.6600,0.4590,0.1898,0.4426,0.5000,0.081545,-0.0849,0.1142,1910,4924559.9,474.9,0.0121,6
12000,3240,0.4500,0,0.5050,0.4069,0.2495,0.5389,0.5000,0.075892,-0.0279,0.0380,2558,4976889.4,399.5,0.0146,6
14000,3240,0.4500,0,0.4830,0.3980,0.2549,0.5503,0.5000,0.072434,-0.0155,0.0193,2600,8395422.6,396.4,0.0161,6
16000,3240,0.4500,0,0.3667,0.3646,0.2868,0.6217,0.5000,0.074759,-0.0323,0.0437,2650,10004096.8,382.6,0.0179,6
18000,3239,0.4499,0,0.2762,0.3532,0.2974,0.7154,0.5000,0.079159,-0.0214,0.0271,2782,11188442.0,355.0,0.0204,5
20000,3240,0.4500,0,0.2718,0.3561,0.2928,0.7215,0.5000,0.077173,-0.0137,0.0184,2802,14058297.0,351.7,0.0221,4
22000,3237,0.4496,0,0.3538,0.4127,0.3088,0.7413,0.5000,0.077303,-0.0357,0.0499,3239,11890822.7,337.0,0.0244,4
24000,3240,0.4500,0,0.3965,0.4465,0.3632,0.7636,0.5000,0.072132,-0.0202,0.0290,4210,10377080.5,322.3,0.0270,4
26000,3240,0.4500,0,0.4035,0.4533,0.3790,0.7670,0.5000,0.070295,-0.0042,0.0080,4469,12301108.4,323.1,0.0287,4
28000,3240,0.4500,0,0.4358,0.4778,0.3657,0.7946,0.5000,0.069297,-0.0151,0.0214,4501,13041612.3,327.0,0.0301,4
30000,3240,0.4500,0,0.4423,0.5000,0.3915,0.7980,0.5000,0.065509,-0.0058,0.0133,4703,13205969.0,325.8,0.0319,4
32000,3240,0.4500,0,0.4396,0.5184,0.4011,0.7981,0.5000,0.061952,-0.0011,0.0042,4882,14015486.6,331.2,0.0331,4
34000,3240,0.4500,0,0.4414,0.5195,0.3993,0.8002,0.5000,0.061174,-0.0023,0.0048,4889,16906613.4,340.5,0.0340,4
36000,3240,0.4500,0,0.4538,0.5193,0.4487,0.7485,0.5000,0.057346,-0.0104,0.0193,5301,16641811.1,343.1,0.0354,4
38000,3240,0.4500,0,0.5285,0.5382,0.5222,0.6843,0.5000,0.052464,-0.0098,0.0221,6709,12516931.1,335.4,0.0378,4
40000,3240,0.4500,0,0.5583,0.5426,0.5646,0.6804,0.5000,0.047820,-0.0018,0.0068,7764,12081258.1,332.1,0.0398,5
42000,3238,0.4497,0,0.5636,0.5344,0.5880,0.6754,0.5000,0.044124,-0.0014,0.0054,8027,13383725.7,334.8,0.0412,5
44000,3240,0.4500,0,0.5486,0.5366,0.6014,0.6704,0.5000,0.041254,-0.0039,0.0084,8119,15584627.3,340.9,0.0422,5
46000,3240,0.4500,0,0.5367,0.5156,0.6306,0.6659,0.5000,0.037529,-0.0057,0.0110,8606,16307836.9,342.3,0.0436,5
48000,3240,0.4500,0,0.5316,0.5193,0.6313,0.6627,0.5000,0.035835,-0.0007,0.0030,8731,19489064.8,347.6,0.0447,5
50000,3240,0.4500,0,0.5275,0.5206,0.6335,0.6581,0.5000,0.035382,-0.0005,0.0021,8757,23265460.9,353.4,0.0456,5
52000,3240,0.4500,0,0.5186,0.5239,0.6325,0.6544,0.5000,0.035142,-0.0018,0.0038,8787,26632716.9,844.5,0.0463,5
54000,3240,0.4500,0,0.4736,0.5581,0.6409,0.6500,0.5000,0.032955,-0.0039,0.0099,8947,26357911.5,594.6,0.0475,5
56000,3239,0.4499,0,0.4610,0.6045,0.6821,0.6648,0.5000,0.027717,-0.0003,0.0068,9220,22596353.9,458.0,0.0492,5
52000,3240,0.4500,0,0.5186,0.5239,0.6325,0.6544,0.5000,0.035142,-0.0018,0.0038,8787,26632716.9,763.6,0.0499,5
54000,3240,0.4500,0,0.4736,0.5581,0.6409,0.6500,0.5000,0.032955,-0.0039,0.0099,8947,26357911.5,595.8,0.0511,5
56000,3239,0.4499,0,0.4610,0.6045,0.6821,0.6648,0.5000,0.027717,-0.0003,0.0068,9220,22596353.9,471.9,0.0527,5
58000,3239,0.4499,0,0.4600,0.6351,0.6970,0.6617,0.5000,0.020341,-0.0004,0.0049,9252,20628976.0,427.3,0.0544,5
60000,3239,0.4499,0,0.4636,0.6560,0.7157,0.6504,0.5000,0.016896,-0.0000,0.0055,9260,22023755.8,423.8,0.0558,5
62000,3240,0.4500,0,0.4569,0.6831,0.7404,0.6149,0.5000,0.013204,-0.0020,0.0058,9469,24012290.4,411.9,0.0573,6
64000,3240,0.4500,0,0.4525,0.6830,0.7438,0.6096,0.5000,0.012738,-0.0002,0.0033,9540,28674450.5,422.9,0.0584,6
66000,3240,0.4500,0,0.4524,0.6829,0.7439,0.6095,0.5000,0.012326,-0.0001,0.0024,9543,33720895.9,437.9,0.0594,6
68000,3240,0.4500,0,0.4522,0.6828,0.7441,0.6091,0.5000,0.012116,-0.0003,0.0025,9550,38721133.1,457.2,0.0601,6
70000,3240,0.4500,0,0.4516,0.6829,0.7438,0.6088,0.5000,0.012043,-0.0001,0.0026,9556,43552637.6,475.5,0.0609,6
72000,3240,0.4500,0,0.4596,0.6831,0.7470,0.6152,0.5000,0.011566,-0.0004,0.0042,9601,46285726.1,447.5,0.0621,6
74000,3240,0.4500,0,0.4596,0.6857,0.7472,0.6159,0.5000,0.009316,-0.0004,0.0067,9632,44141091.5,354.2,0.0640,6
